Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,ScreenType,PPI,SSD_GB,Cpu_Brand,Cpu_Family,Cpu_Clockspeed,target
Acer,2 in 1 Convertible,13.3,8,Intel HD Graphics 520,Windows,1.6,IPS Panel,165.63,256,Intel,Core i7,2.5,789.01
Other,Gaming,14.0,16,Nvidia GeForce GTX 1060,Windows,1.95,Standard,157.35,512,Intel,Core i7,2.8,2899.0
Lenovo,2 in 1 Convertible,15.6,4,Intel HD Graphics 520,Windows,2.1,IPS Panel,141.21,256,Intel,Core i5,2.3,867.0
Dell,Notebook,15.6,8,AMD Radeon R5 M430,Linux,2.2,Standard,141.21,0,Intel,Core i7,2.7,599.9
HP,Notebook,15.6,4,Intel HD Graphics 520,Windows,1.86,Standard,141.21,0,Intel,Core i3,2.0,469.0
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.1,Standard,100.45,0,Intel,Core i5,2.3,540.0
Other,Notebook,14.0,2,Intel HD Graphics,Windows,1.4,Standard,157.35,0,Intel,Atom,1.44,239.0
Lenovo,2 in 1 Convertible,14.0,4,Intel HD Graphics 620,Windows,1.74,IPS Panel,157.35,256,Intel,Core i3,2.4,629.0
MSI,Gaming,17.3,8,Nvidia GeForce GTX 1050 Ti,Windows,2.7,Standard,127.34,128,Intel,Core i7,2.8,1348.48
Acer,Notebook,14.0,4,Intel HD Graphics 405,Windows,1.6,Standard,111.94,0,Intel,Pentium Quad Core,1.6,349.0
Asus,Notebook,14.0,4,Intel HD Graphics 500,Windows,1.5,Standard,111.94,0,Intel,Celeron Dual Core,1.1,278.0
Lenovo,Notebook,14.0,4,Intel HD Graphics 500,Windows,2.1,Standard,111.94,0,Intel,Celeron Dual Core,1.1,299.0
Dell,Notebook,15.6,16,AMD Radeon R7 M445,Windows,2.32,Standard,141.21,0,Intel,Core i7,2.7,989.99
Lenovo,Notebook,14.0,16,Intel HD Graphics 520,Windows,1.1,IPS Panel,209.8,256,Intel,Core i7,2.6,2620.0
HP,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,3.35,IPS Panel,127.34,128,Intel,Core i7,2.8,1191.0
Lenovo,2 in 1 Convertible,13.3,16,Intel Iris Graphics 540,Windows,1.3,IPS Panel,276.05,1024,Intel,Core i7,2.2,1799.0
Dell,Notebook,15.6,8,Nvidia GeForce GTX 930MX,Windows,1.93,Standard,141.21,256,Intel,Core i7,2.8,1369.0
Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows,2.5,IPS Panel,141.21,256,Intel,Core i5,2.5,829.0
Lenovo,Notebook,17.3,8,Intel HD Graphics 620,No OS,2.8,Standard,106.11,0,Intel,Core i5,2.5,539.0
Lenovo,Notebook,11.6,2,Intel HD Graphics 500,Windows,1.15,Standard,135.09,0,Intel,Celeron Dual Core,1.1,304.45
Dell,Ultrabook,13.3,16,Intel HD Graphics 620,Windows,1.2,Standard,276.05,1024,Intel,Core i7,2.7,2254.0
Dell,Gaming,15.6,16,Nvidia GeForce GTX 970M,Windows,3.21,Standard,282.42,256,Intel,Core i7,2.6,1329.0
Dell,Netbook,11.6,4,Intel HD Graphics 400,Chrome OS,1.26,Standard,135.09,0,Intel,Celeron Dual Core,1.6,295.0
Lenovo,Notebook,15.6,8,Intel HD Graphics 620,Windows,2.3,Standard,141.21,256,Intel,Core i5,2.5,830.0
Dell,Notebook,15.6,4,Intel HD Graphics 520,Windows,1.95,Standard,100.45,0,Intel,Core i5,2.3,729.9
Lenovo,Notebook,15.6,8,AMD R17M-M1-70,Windows,1.9,Standard,141.21,128,Intel,Core i5,2.5,813.0
Lenovo,Notebook,15.6,8,Intel HD Graphics 520,Windows,2.3,Standard,141.21,256,Intel,Core i5,2.3,1349.0
HP,Notebook,15.6,4,Intel HD Graphics 620,Windows,2.04,Standard,141.21,0,Intel,Core i3,2.4,685.0
Lenovo,Notebook,15.6,8,Intel HD Graphics 630,Windows,1.95,IPS Panel,141.21,256,Intel,Core i7,2.7,1097.0
Asus,Gaming,17.3,8,Nvidia GeForce GTX 1050,Windows,3.0,Standard,127.34,0,Intel,Core i7,2.8,1039.0
Dell,Ultrabook,13.3,16,Intel Iris Plus Graphics 640,Windows,1.29,Standard,276.05,512,Intel,Core i7,2.5,2240.0
Asus,Gaming,15.6,16,Nvidia GeForce GTX 1060,Windows,2.2,IPS Panel,141.21,128,Intel,Core i7,2.8,1449.0
HP,Notebook,15.6,8,AMD Radeon R7 Graphics,Windows,2.04,Standard,100.45,0,AMD,A12-Series,2.5,629.0
HP,Notebook,14.0,4,Intel HD Graphics 520,Windows,1.48,Standard,111.94,256,Intel,Core i5,2.4,1099.99
Dell,Notebook,15.6,8,Intel HD Graphics 620,Windows,1.9,Standard,141.21,0,Intel,Core i5,2.6,935.0
Lenovo,Notebook,15.6,8,Nvidia GeForce GTX 940MX,Windows,2.3,IPS Panel,141.21,256,Intel,Core i5,2.5,1011.99
Toshiba,Notebook,15.6,16,Nvidia GeForce 930M,Windows,2.4,IPS Panel,141.21,256,Intel,Core i7,2.5,1425.0
HP,Ultrabook,12.5,8,Intel HD Graphics 520,Windows,1.26,Standard,125.37,256,Intel,Core i5,2.4,1895.0
Acer,Notebook,15.6,2,Intel HD Graphics,Chrome OS,2.19,Standard,100.45,16,Intel,Celeron Dual Core,1.5,199.0
Acer,Notebook,15.6,12,Intel HD Graphics 620,Windows,2.15,IPS Panel,141.21,0,Intel,Core i7,2.7,659.0
Lenovo,Notebook,15.6,4,AMD Radeon R2 Graphics,Windows,2.2,Standard,100.45,0,AMD,E-Series,2.2,299.0
Lenovo,Notebook,15.6,4,Intel HD Graphics 520,Windows,2.1,Standard,100.45,128,Intel,Core i3,2.0,429.0
Asus,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows,1.1,Standard,165.63,1024,Intel,Core i7,1.8,1499.0
Asus,Notebook,15.6,4,Intel HD Graphics 520,Linux,2.0,Standard,141.21,256,Intel,Core i3,2.0,415.0
Dell,Ultrabook,13.3,16,Intel HD Graphics 620,Windows,1.2,Standard,276.05,512,Intel,Core i7,2.7,2680.0
Acer,Notebook,15.6,4,AMD Radeon R5,Windows,2.1,Standard,100.45,128,AMD,A9-Series,3.0,426.0
Lenovo,Gaming,15.6,4,Nvidia GeForce GTX 1050,Windows,2.4,IPS Panel,141.21,0,Intel,Core i7,2.8,999.0
Lenovo,2 in 1 Convertible,13.3,8,Intel HD Graphics 540,Windows,1.3,IPS Panel,276.05,256,Intel,Core i5,1.8,1199.0
HP,Notebook,15.6,8,Intel HD Graphics 405,Windows,2.04,Standard,100.45,0,Intel,Pentium Quad Core,1.6,389.0
Dell,Notebook,15.6,16,Intel HD Graphics 620,Windows,1.93,Standard,141.21,512,Intel,Core i5,2.6,1426.66
Dell,Ultrabook,13.3,8,Intel HD Graphics 520,Linux,1.23,Standard,276.05,256,Intel,Core i5,2.4,1099.0
Dell,Notebook,15.6,8,Nvidia GeForce GTX 1050,Windows,2.0,Standard,141.21,256,Intel,Core i7,2.8,1820.0
HP,2 in 1 Convertible,13.3,8,Intel HD Graphics 520,Windows,1.48,Standard,220.84,256,Intel,Core i7,2.6,1799.0
Toshiba,Notebook,13.3,8,Intel HD Graphics 620,Windows,1.05,Standard,165.63,256,Intel,Core i5,2.5,1475.0
HP,2 in 1 Convertible,11.6,8,Intel HD Graphics 500,Chrome OS,1.4,Standard,135.09,0,Intel,Celeron Dual Core,1.1,495.0
Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows,2.25,Standard,100.45,0,Intel,Core i5,2.5,599.0
Dell,Notebook,15.6,4,AMD Radeon R5 M430,Linux,2.3,Standard,141.21,256,Intel,Core i5,2.5,598.9
Dell,2 in 1 Convertible,13.3,8,Intel HD Graphics 615,Windows,1.24,Standard,276.05,512,Intel,Core i7,1.3,2013.1
Lenovo,Notebook,15.6,4,AMD Radeon R4 Graphics,Windows,2.2,Standard,141.21,128,AMD,A6-Series,2.5,399.0
HP,Notebook,17.3,8,Intel UHD Graphics 620,Windows,2.5,Standard,127.34,256,Intel,Core i5,1.6,928.0
Asus,Notebook,15.6,4,Nvidia GeForce GTX 950M,No OS,2.45,Standard,100.45,0,Intel,Core i5,2.3,579.0
HP,Ultrabook,14.0,8,Intel HD Graphics 520,Windows,1.54,Standard,209.8,256,Intel,Core i7,2.5,2198.19
Lenovo,Gaming,15.6,16,Nvidia GeForce GTX 960,Windows,3.31,IPS Panel,141.21,512,Intel,Core i7,2.6,1305.0
Asus,2 in 1 Convertible,13.3,6,Intel HD Graphics 620,Windows,1.5,Standard,165.63,0,Intel,Core i5,2.5,639.01
Dell,Notebook,17.3,8,AMD Radeon 530,Windows,2.8,Standard,127.34,128,Intel,Core i7,1.8,1142.0
Lenovo,2 in 1 Convertible,13.3,8,Intel HD Graphics 620,Windows,1.37,IPS Panel,165.63,512,Intel,Core i7,2.7,2025.0
Lenovo,Notebook,15.6,32,Nvidia Quadro M2200M,Windows,2.5,IPS Panel,282.42,1024,Intel,Xeon,3.1,4899.0
HP,Notebook,15.6,4,AMD Radeon R5 520,Windows,2.1,Standard,141.21,128,Intel,Core i3,2.0,499.0
Dell,Notebook,15.6,4,AMD Radeon 530,Windows,2.2,Standard,141.21,0,Intel,Core i5,1.6,776.0
Lenovo,Notebook,15.6,4,Nvidia GeForce 920MX,No OS,2.2,Standard,141.21,0,Intel,Core i5,2.5,499.0
HP,Notebook,17.3,8,Intel HD Graphics 520,Windows,2.54,Standard,106.11,0,Intel,Core i3,2.0,489.0
Toshiba,Ultrabook,14.0,8,Intel HD Graphics 520,Windows,1.47,IPS Panel,157.35,256,Intel,Core i7,2.6,1725.0
Asus,Notebook,15.6,4,Intel HD Graphics 620,Linux,2.0,Standard,141.21,256,Intel,Core i5,2.5,559.0
Lenovo,Notebook,14.0,8,AMD Radeon RX 550,Windows,1.75,IPS Panel,157.35,256,Intel,Core i5,1.6,1116.02
Dell,Ultrabook,13.3,8,Intel HD Graphics 620,Windows,1.29,Standard,165.63,256,Intel,Core i5,2.5,1499.0
HP,Notebook,13.3,4,Intel UHD Graphics 620,Windows,1.49,IPS Panel,165.63,128,Intel,Core i5,1.6,726.0
Dell,Notebook,15.6,8,AMD Radeon 530,Windows,2.02,Standard,141.21,0,Intel,Core i5,1.6,759.0
HP,Notebook,13.3,4,Intel HD Graphics 620,Windows,1.32,IPS Panel,165.63,256,Intel,Core i5,2.5,699.0
HP,Ultrabook,14.0,8,Intel HD Graphics 520,Windows,1.54,Standard,157.35,512,Intel,Core i7,2.5,1870.0
Lenovo,Gaming,15.6,16,AMD Radeon R9 M385,Windows,2.5,IPS Panel,141.21,512,AMD,FX,2.1,999.0
Dell,Gaming,17.3,16,Nvidia GeForce GTX 1060,Windows,4.42,IPS Panel,127.34,256,Intel,Core i7,2.8,2456.34
HP,Ultrabook,15.6,8,Intel HD Graphics 620,Windows,1.84,Standard,141.21,512,Intel,Core i7,2.7,1389.0
Toshiba,Notebook,15.6,8,Nvidia GeForce 930M,Windows,2.2,Standard,100.45,0,Intel,Core i7,2.5,812.0
HP,Notebook,15.6,8,Intel UHD Graphics 620,Windows,2.1,IPS Panel,100.45,0,Intel,Core i7,1.8,902.0
Dell,Notebook,15.6,16,Nvidia GeForce GTX 1050,Windows,2.06,Standard,282.42,512,Intel,Core i7,2.8,2027.42
